SKU,Item ID,Product Name,Lifecycle Status,Publish Status,Status Change Reason,Product Category,Price,Currency,Buy Box Item Price,Buy Box Shipping Price,MSRP,Product Tax Code,Ship Methods,Shipping Weight,Shipping Weight Unit,Fulfillment Lag Time,Fulfillment Type,WFS Sales Restriction,WPID,GTIN,UPC,Item Page URL,Primary Image URL,Shelf Name,Primary Category Path,Brand,Offer Start Date,Offer End Date,Item Creation Date,Item Last Updated,Reviews Count,Average Rating,Searchable?,Competitor URL,Competitor Price,Competitor Ship Price,Competitor Last Date Fetched,Repricer Strategy,Minimum Seller Allowed Price,Maximum Seller Allowed Price,Repricer Status
685428002463,5050195042,Bumble and Bumble All About Hydration Set,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",35.0,USD,31.99,0.0,0,2048134,NETWORK_GEO,1.0,"""LB""",,Seller Fulfilled,,38AR8QS8ZTJV,685428002463,685428002463,http://www.walmart.com/ip/Bumble-and-Bumble-All-About-Hydration-Set/5050195042,https://i5.walmartimages.com/asr/7faa3bfe-f285-4e52-a5fe-541a2c14b8e3.6ad58e26ad7d8ecf7c6d43c09ffb257e.jpeg,Skin Care Sets,"[""Home Page"",""Beauty"",""Skin Care"",""Skin Care Sets""]",Bumble and bumble,04-11-24,12-31-49,09-21-23,04-11-24,0,,Y,https://www.amazon.com/dp/B0C4VSCR91?psc=1&th=1&vs=1,36.95,0.0,05-16-24,,,,
690251036769,707962851,Jo Malone Peony Blush Suede Body Cream 0.5 oz / 15 ml,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",10.0,USD,9.99,0.0,,2048134,NETWORK_GEO,0.3,"""LB""",,Seller Fulfilled,,4V7HMPHIGXHU,746760158161,746760158161,http://www.walmart.com/ip/Jo-Malone-Peony-Blush-Suede-Body-Cream-0-5-oz-15-ml/707962851,https://i5.walmartimages.com/asr/ba169f61-d056-45c8-9035-92778d18c9a6.7d30ec5624bb104f46d1d30e20a9816d.jpeg,Cold Weather Skincare,"[""Home Page"",""Personal Care"",""Cold Weather Skincare""]",Jo Malone,10-16-24,12-31-49,11-18-20,11-18-24,0,,Y,https://www.amazon.com/dp/B00QSVMS96?psc=1&th=1&vs=1,24.99,0.0,12-14-24,,,,
7612491180623,602654992,La Colline Cellular Hydra Firming Body Cream,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",255.2,USD,255.2,0.0,320.00,2048134,NETWORK_GEO,0.7,"""LB""",,Seller Fulfilled,,3CC0OVL8IPTG,7612491180623,,http://www.walmart.com/ip/Cellular-Hydra-Firming-Body-Cream/602654992,https://i5.walmartimages.com/asr/b655d62e-7bab-45ae-9072-5b37091937c2.15b87d097cb2b0ec31a03527577ac6b9.jpeg,Body Lotions,"[""Home Page"",""Personal Care"",""Bath & Body"",""Body Lotions""]",La Colline,11-14-24,12-31-49,08-19-21,11-14-24,0,,Y,https://www.amazon.com/dp/B0936Q3HR2?psc=1&th=1&vs=1,340.0,0.0,09-12-24,,,,
A82,319833446,too faced born this way foundation (warm sand),ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",37.0,USD,37.5,0.0,59.99,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,11U0R12CTAEW,651986702046,651986702046,http://www.walmart.com/ip/too-faced-born-this-way-foundation-warm-sand/319833446,https://i5.walmartimages.com/asr/d958b260-511e-499e-90e5-e6041b913cfc.9d80d0a82e314c0e6c1da445985a55e6.jpeg,Premium Foundation,"[""Home Page"",""Premium Beauty"",""Premium Makeup"",""Premium Face"",""Premium Foundation""]",Too Faced,08-08-24,12-31-49,11-28-19,12-16-24,1,1.0,Y,https://www.target.com/p/product/-/A-82551275,47.0,0.0,08-27-24,,,,
KATZBURTBEESPF30DAILYLOTION,660819901,"Burts Bees SPF 30 Calming Day Lotion with Aloe and Rice Milk for Sensitive Skin, 1.8 Fluid Ounces",ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",17.49,USD,23,,14.99,2048134,NETWORK_GEO,1.0,"""LB""",,Seller Fulfilled,,4WP3I35QQAEW,792850649958,792850649958,http://www.walmart.com/ip/Burts-Bees-SPF-30-Calming-Day-Lotion-with-Aloe-and-Rice-Milk-for-Sensitive-Skin-1-8-Fluid-Ounces/660819901,https://i5.walmartimages.com/asr/4f8a9f25-08af-43c1-aedf-2732df9c2e29.e5e45cda350890cdd339a0e578d60735.jpeg,Face Moisturizers,"[""Home Page"",""Beauty"",""Skin Care"",""Moisturizers"",""Face Moisturizers""]",Burt's Bees,06-10-24,12-31-49,07-20-21,12-18-24,184,4.1,Y,https://www.amazon.com/dp/B09BGGM51D?psc=1&th=1&vs=1,18.0,0.0,12-16-24,,,,
KATZLACOLLINEMATRIXCREAM,833840754,La Colline Matrix R3 - Cellular Rich Matrix Cream 30ml/1oz,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",184.0,USD,184,0.0,245.00,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,4ALRNMM1W72U,7612491180050,,http://www.walmart.com/ip/La-Colline-Matrix-R3-Cellular-Rich-Matrix-Cream-30ml-1oz/833840754,https://i5.walmartimages.com/asr/e6253847-a0cb-4208-988f-b436eaa77640.00a26b509041182efbe697231da29b68.jpeg,Prep Your Skin for the Gym,"[""Home Page"",""Health and Medicine"",""Sports Medicine & Injury Recovery Solution"",""Optimize Performance"",""Look Good, Feel Good"",""Prep Your Skin for the Gym""]",La Colline,10-15-24,12-31-49,08-22-21,10-30-24,0,,Y,https://www.amazon.com/dp/B016XBN0EC?psc=1&th=1&vs=1,230.0,0.0,12-12-24,,,,
27131306016,313417278,Estee Lauder - Soft Clean Silky Hydrating Lotion(400ml/13.5oz),ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",31.9,USD,23.81,,78,2048134,NETWORK_GEO,2.0,"""LB""",,Seller Fulfilled,,4XDDSKHZPO87,27131306016,27131306016,http://www.walmart.com/ip/Estee-Lauder-Soft-Clean-Silky-Hydrating-Lotion-400ml-13-5oz/313417278,https://i5.walmartimages.com/asr/3fad72d3-1dab-4e2c-8c6d-f985155d962c.c08ca2e32ba87ef103ef18cd28b99be8.jpeg,Premium Face Treatments and Serums,"[""Home Page"",""Premium Beauty"",""Premium Skincare"",""Premium Face Treatments and Serums""]",Estee Lauder,04-09-24,12-31-49,04-05-17,12-16-24,12,5.0,Y,https://www.amazon.com/dp/B001J7L93K?psc=1&th=1&vs=1,37.99,0.0,09-23-24,,,,
192333135808,5396997817,"Clinique, Moisturizer Smart Clinical Repair Wrinkle Correcting Cream, 0.17oz/5ml",ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",10.95,USD,9.99,0.0,,2048134,NETWORK_GEO,0.3,"""LB""",,Seller Fulfilled,,3P8M96BAZGNY,200001237669,200001237669,http://www.walmart.com/ip/Clinique-Moisturizer-Smart-Clinical-Repair-Wrinkle-Correcting-Cream-0-17oz-5ml/5396997817,https://i5.walmartimages.com/asr/cb5de860-5856-4820-b36c-79b60a688ab0.a00ec1db5a3cc0c567cf2fa5c4c522f8.jpeg,Anti-Aging Creams,"[""Home Page"",""Beauty"",""Skin Care"",""Moisturizers"",""Anti-Aging Creams""]",Clinique,08-22-24,12-31-49,03-27-24,11-19-24,0,,Y,https://www.ebay.com/itm/374958415376,6.99,0.0,08-09-24,,,,
20714966157,120592489,CLINIQUE EVEN BETTER FOUNDATION 1.0 OZ WN 114 GOLDEN (D CLINIQUE/EVEN BETTER REFRESH FOUNDATION WN 114 GOLDEN (D) 1.0 OZ (30 ML) HYDRATING AND REPAIRING MAKEUP WARM NEUTRAL UNDERTONE,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",21.0,USD,24.95,0.0,34,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,4TWEFR7WNWB5,20714966157,20714966157,http://www.walmart.com/ip/CLINIQUE-EVEN-BETTER-FOUNDATION-1-0-OZ-WN-114-GOLDEN-D-CLINIQUE-EVEN-REFRESH-D-30-ML-HYDRATING-AND-REPAIRING-MAKEUP-WARM-NEUTRAL-UNDERTONE/120592489,https://i5.walmartimages.com/asr/9adc0b3e-1efd-471b-9fb8-0fd8791995c0.957502223323ec6c482367a54d218650.jpeg,Clinique Makeup,"[""Home Page"",""Premium Beauty"",""Featured Brands"",""Clinique"",""Clinique Makeup""]",Clinique,07-08-24,12-31-49,11-08-21,10-30-24,0,0.0,Y,https://www.ebay.com/itm/355834567455,14.99,3.99,08-09-24,,,,
716170237923,964404758,BOBBI BROWN CRUSHED LIP COLOR RICH COCOA .11 OZ,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",22.59,USD,21.99,,28.99,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,1NISNFCF61VC,716170237923,716170237923,http://www.walmart.com/ip/BOBBI-BROWN-CRUSHED-LIP-COLOR-RICH-COCOA-11-OZ/964404758,https://i5.walmartimages.com/asr/93887013-9aaf-4548-b25f-c96570f96ca9.9feb7fa212edca7f7991d426ead51ae0.jpeg,Bobbi Brown,"[""Home Page"",""Premium Beauty"",""Featured Brands"",""Bobbi Brown""]",Bobbi Brown,10-29-24,12-31-49,11-10-21,11-13-24,0,0.0,Y,https://www.amazon.com/dp/B0D742FB28?psc=1&th=1&vs=1,27.88,0.0,12-16-24,,,,
716170296357,9399166938,Bobbi Brown Skin Full Cover Concealer Cool Beige,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",32.99,USD,32.99,0.0,,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,743WMFM1CCYH,100144434973,100144434973,http://www.walmart.com/ip/Bobbi-Brown-Skin-Full-Cover-Concealer-Cool-Beige/9399166938,https://i5.walmartimages.com/asr/3b057dab-9d22-41b7-a988-f4c13fb6a0e3.144723df5453fbe8a96c49800c800a0a.jpeg,Bobbi Brown,"[""Home Page"",""Premium Beauty"",""Featured Brands"",""Bobbi Brown""]",Bobbi Brown,10-29-24,12-31-49,10-08-24,10-29-24,0,,Y,https://www.amazon.com/dp/B0B9XH2QT6?psc=1&th=1&vs=1,25.93,0.0,12-16-24,,,,
192333034675,1052935735,"Clinique Even Better Clinical Serum Foundation SPF 25, CN 74 Beige 1 Ounce",ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",22.0,USD,17.4,,46,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,6F7J2VVWU6KJ,192333034675,192333034675,http://www.walmart.com/ip/coming-soon/1052935735,https://i5.walmartimages.com/asr/0b98cdd0-a116-481d-9fe9-64ad7fa1a653.4cf64646e4d7f3064a7e18d483dc29f2.jpeg,Foundation with SPF,"[""Home Page"",""Beauty"",""Makeup"",""Face Makeup"",""Foundation"",""Foundation with SPF""]",Clinique,10-10-24,12-31-49,01-10-22,11-20-24,3,5.0,Y,https://www.amazon.com/dp/B0B3FPYQ9C?psc=1&th=1&vs=1,48.0,0.0,12-15-24,,,,
651986909605,5602570196,"Too Faced, Set, Bronzer and Lipgloss You’re So Hot, 3pc",ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",39.99,USD,29.99,0.0,,2048134,NETWORK_GEO,1.0,"""LB""",,Seller Fulfilled,,6PEXW7TBXXTU,200001053641,200001053641,http://www.walmart.com/ip/Too-Faced-Set-Bronzer-and-Lipgloss-You-re-So-Hot-3pc/5602570196,https://i5.walmartimages.com/asr/febb6103-7b96-4798-af39-ce92bd1e8c59.c35998bfed7982aadb224f5f8efc65e2.jpeg,Makeup Sets,"[""Home Page"",""Beauty"",""Makeup"",""Makeup Sets"",""Makeup Sets""]",Too Faced,08-20-24,12-31-49,11-04-24,08-11-24,0,,Y,,,,,,,,
685428002326,1321440263,Bumble and bumble Bond-Building Repair Oil Serum 1.62 oz / 48 ml,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",25.0,USD,15.0,0.0,0,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,6AYP2ZGRBBAB,685428002326,685428002326,http://www.walmart.com/ip/Bumble-and-bumble-Bond-Building-Repair-Oil-Serum-1-62-oz-48-ml/1321440263,https://i5.walmartimages.com/asr/5dbd2f7b-88b3-4f79-942b-7247e94a4ea9.13aaaae65ef309bb28c92f201ab8dcdf.jpeg,Styling Products,"[""Home Page"",""Beauty"",""Here for Every Beauty"",""Hair Care & Hair Tools"",""Styling Products""]",Bumble and bumble,11-11-24,12-31-49,02-16-23,12-12-24,1,5.0,Y,https://www.amazon.com/dp/B0BX6W6Y4B?psc=1&th=1&vs=1,45.0,0.0,12-16-24,,,,
887167509412,1108289732,Estee Lauder Double Wear Matte Powder Foundation 8N1 Espresso 0.42 oz,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",19.95,USD,19.95,0.0,,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,5L879W8ERBS9,887167509412,887167509412,http://www.walmart.com/ip/Estee-Lauder-Double-Wear-Matte-Powder-Foundation-8N1-Espresso-0-42-oz/1108289732,https://i5.walmartimages.com/asr/83f2ad67-fc06-4d55-b3c5-bcadd7baed47.69a0071613829d0aa800d170285e97ea.jpeg,Estee Lauder Foundation,"[""Home Page"",""Premium Beauty"",""Featured Brands"",""Estee Lauder"",""Estee Lauder Foundation""]",Estee Lauder,09-24-24,12-31-49,09-20-22,02-11-24,0,,Y,https://www.amazon.com/dp/B07NYSQMH7?psc=1&th=1&vs=1,17.89,0.0,09-23-24,,,,
KATZBBDRAGONFRUITLIPBALM,262109250,"Burt's Bees Dragonfruit Lemon Lip Balm, 1-Pack, 0.15 oz.",ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",7.29,USD,8.11,0.0,8.99,2049930,NETWORK_GEO,0.15,"""LB""",,Seller Fulfilled,,577RY8EUXXW1,792850910492,792850910492,http://www.walmart.com/ip/Burt-s-Bees-Dragonfruit-Lemon-Lip-Balm-1-Pack-0-15-oz/262109250,https://i5.walmartimages.com/asr/3f61a258-a1ab-41f2-8766-0caaf0533926.5cd61b9384cd1ef798a6964dfa549151.jpeg,Untinted Lip Balm,"[""Home Page"",""Beauty"",""Skin Care"",""Lip Balms & Conditioners"",""Untinted Lip Balm""]",Burt's Bees,06-10-24,12-31-49,07-23-20,12-18-24,834,4.0,Y,https://www.target.com/p/product/-/A-80184043,3.49,0.0,12-15-24,,,,
887167439375,778453642,Estee Lauder Double Wear Makeup Foundation,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",19.95,USD,26.95,0.0,52.99,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,4F98DFHY2I2F,887167439375,887167439375,http://www.walmart.com/ip/Estee-Lauder-Double-Wear-Stay-In-Place-Makeup-1oz-4N3-Maple-Sugar-New-With-Box/778453642,https://i5.walmartimages.com/asr/ee93884a-b17d-4843-bb23-ad1b3bfc0a38.17f346b76539425b228e55e93579b648.jpeg,Estee Lauder Foundation,"[""Home Page"",""Premium Beauty"",""Featured Brands"",""Estee Lauder"",""Estee Lauder Foundation""]",Estee Lauder,08-27-24,12-31-49,10-06-20,12-18-24,1,5.0,Y,https://www.amazon.com/dp/B07FPJX8C8?psc=1&th=1&vs=1,52.0,0.0,12-16-24,,,,
20714968878,337516947,Clinique Even Better Concealer Under Eye Concealer CN 10 Alabaster,ACTIVE,PUBLISHED,,"Beauty, Personal Care, & Hygiene",19.98,USD,30.29,0.0,35.55,2048134,NETWORK_GEO,0.5,"""LB""",,Seller Fulfilled,,5DUSSFJRZFXF,20714968878,20714968878,http://www.walmart.com/ip/Clinique-Even-Better-Concealer-Under-Eye-Concealer-CN-10-Alabaster/337516947,https://i5.walmartimages.com/asr/7594ef4c-6957-411b-b6f1-d77b84bb25b0.d23a0d7a72fb048a50c9fc6174e77132.jpeg,Clinique Makeup,"[""Home Page"",""Premium Beauty"",""Featured Brands"",""Clinique"",""Clinique Makeup""]",Clinique,09-09-24,12-31-49,02-09-21,12-17-24,57,4.2,Y,https://www.amazon.com/dp/B09KDVXTTP?psc=1&th=1&vs=1,32.0,0.0,12-16-24,,,,
